"","run_num","sync_fish","sync_dfly","asym_fish","asym_dfly","surv_fish","surv_dfly","biom_fish","biom_dfly","biom_tot","sp","id","meta","hatch_date","end_date","growth_time","growth_rate","max_size"
"1",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","1",0,37,96,59,0.0991525423728813,5.85
"2",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","10",1,30,89,59,0.113559322033898,6.7
"3",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","11",1,19,68,49,0.15,7.35
"4",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","12",1,31,104,73,0.0828767123287671,6.05
"5",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","13",1,50,159,109,0.0600917431192661,6.55
"6",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","14",1,31,100,69,0.091304347826087,6.3
"7",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","15",1,28,101,73,0.0883561643835616,6.45
"8",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","16",1,36,118,82,0.0768292682926829,6.3
"9",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","17",0,37,83,46,0.103260869565217,4.75
"10",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","18",1,32,93,61,0.10327868852459,6.3
"11",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","19",1,58,177,119,0.053781512605042,6.4
"12",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","2",0,46,116,70,0.0671428571428571,4.7
"13",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","20",1,29,82,53,0.124528301886792,6.6
"14",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","21",1,23,80,57,0.11140350877193,6.35
"15",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","22",0,50,137,87,0.0626436781609195,5.45
"16",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","23",1,36,101,65,0.0976923076923077,6.35
"17",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","24",1,19,69,50,0.143,7.15
"18",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","25",1,38,139,101,0.0648514851485149,6.55
"19",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","26",1,33,110,77,0.0837662337662338,6.45
"20",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","27",1,32,113,81,0.0771604938271605,6.25
"21",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","28",1,43,132,89,0.0685393258426966,6.1
"22",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","29",1,20,82,62,0.107258064516129,6.65
"23",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","3",1,34,131,97,0.0649484536082474,6.3
"24",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","30",0,39,95,56,0.0964285714285714,5.4
"25",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","31",1,42,133,91,0.0692307692307692,6.3
"26",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","32",1,24,77,53,0.134905660377358,7.15
"27",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","33",1,32,99,67,0.0932835820895522,6.25
"28",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","34",0,36,94,58,0.096551724137931,5.6
"29",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","35",1,36,118,82,0.074390243902439,6.1
"30",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","36",0,51,161,110,0.0518181818181818,5.7
"31",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","37",1,24,73,49,0.130612244897959,6.4
"32",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","38",0,48,98,50,0.084,4.2
"33",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","39",1,36,128,92,0.0668478260869565,6.15
"34",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","4",1,11,65,54,0.132407407407407,7.15
"35",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","40",1,30,90,60,0.105,6.3
"36",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","5",1,40,135,95,0.0636842105263158,6.05
"37",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","6",1,41,124,83,0.0753012048192771,6.25
"38",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","7",1,43,156,113,0.0544247787610619,6.15
"39",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","8",0,46,112,66,0.0810606060606061,5.35
"40",1,"high","high","none","none",40,31,277.85,199.5,477.35,"d","9",1,38,125,87,0.0701149425287356,6.1
"41",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","1",1,28,82,54,0.121296296296296,6.55
"42",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","10",1,20,76,56,0.130357142857143,7.3
"43",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","11",1,25,103,78,0.0858974358974359,6.7
"44",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","12",1,18,71,53,0.136792452830189,7.25
"45",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","13",1,23,75,52,0.127884615384615,6.65
"46",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","14",1,19,76,57,0.12719298245614,7.25
"47",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","15",1,16,70,54,0.142592592592593,7.7
"48",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","16",1,19,77,58,0.128448275862069,7.45
"49",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","17",1,26,86,60,0.1125,6.75
"50",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","18",1,19,72,53,0.140566037735849,7.45
"51",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","19",1,24,78,54,0.125,6.75
"52",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","2",1,16,69,53,0.142452830188679,7.55
"53",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","20",1,28,97,69,0.0971014492753623,6.7
"54",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","21",1,21,79,58,0.125862068965517,7.3
"55",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","22",1,27,98,71,0.0950704225352113,6.75
"56",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","23",1,28,88,60,0.110833333333333,6.65
"57",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","24",1,21,72,51,0.145098039215686,7.4
"58",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","25",1,19,71,52,0.125961538461538,6.55
"59",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","26",1,16,64,48,0.142708333333333,6.85
"60",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","27",1,20,65,45,0.153333333333333,6.9
"61",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","28",1,13,64,51,0.148039215686275,7.55
"62",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","29",1,22,72,50,0.144,7.2
"63",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","3",1,16,69,53,0.134905660377358,7.15
"64",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","30",1,15,77,62,0.114516129032258,7.1
"65",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","31",1,29,93,64,0.10390625,6.65
"66",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","32",1,28,91,63,0.108730158730159,6.85
"67",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","33",1,27,93,66,0.103030303030303,6.8
"68",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","34",1,17,75,58,0.117241379310345,6.8
"69",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","35",1,17,67,50,0.137,6.85
"70",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","36",1,26,79,53,0.118867924528302,6.3
"71",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","37",1,23,75,52,0.120192307692308,6.25
"72",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","38",1,21,72,51,0.123529411764706,6.3
"73",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","39",1,17,65,48,0.146875,7.05
"74",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","4",1,26,80,54,0.126851851851852,6.85
"75",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","40",1,18,63,45,0.157777777777778,7.1
"76",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","5",1,15,64,49,0.15,7.35
"77",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","6",1,27,79,52,0.139423076923077,7.25
"78",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","7",1,20,74,54,0.116666666666667,6.3
"79",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","8",1,21,85,64,0.1078125,6.9
"80",1,"high","high","none","none",40,31,277.85,199.5,477.35,"f","9",1,23,80,57,0.119298245614035,6.8
"81",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","1",1,39,152,113,0.0584070796460177,6.6
"82",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","10",1,32,90,58,0.10948275862069,6.35
"83",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","11",0,45,90,45,0.103333333333333,4.65
"84",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","12",1,15,67,52,0.147115384615385,7.65
"85",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","13",1,62,208,146,0.0431506849315068,6.3
"86",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","14",1,39,114,75,0.0826666666666667,6.2
"87",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","15",0,54,166,112,0.0526785714285714,5.9
"88",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","16",1,16,71,55,0.134545454545455,7.4
"89",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","17",1,31,100,69,0.0934782608695652,6.45
"90",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","18",1,33,91,58,0.111206896551724,6.45
"91",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","19",0,57,92,35,0.1,3.5
"92",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","2",1,48,145,97,0.0649484536082474,6.3
"93",2,"high","high","none","none",40,33,280.6,214.85,495.45,"d","20",1,43,109,66,0.0916666666666667,6.05
