"","run_num","sp","var","mean","se","n_fish","n_dfly","mean_fish","mean_dfly","sync_fish","sync_dfly","asym_fish","asym_dfly","surv_fish","surv_dfly","surv_tot","biom_fish","biom_dfly","biom_tot"
"1",1,"d","emer",108.741935483871,0.92567972389314,40,40,15,30,"high","high","none","none",40,31,71,277.85,199.5,477.35
"2",1,"d","grow",0.0914009291871529,0.00089176146207208,40,40,15,30,"high","high","none","none",40,31,71,277.85,199.5,477.35
"3",1,"d","mass",6.43548387096774,0.0111215772785705,40,40,15,30,"high","high","none","none",40,31,71,277.85,199.5,477.35
"4",1,"f","emer",77.15,0.253472675915763,40,40,15,30,"high","high","none","none",40,31,71,277.85,199.5,477.35
"5",1,"f","grow",0.126390325988494,0.000427679331585694,40,40,15,30,"high","high","none","none",40,31,71,277.85,199.5,477.35
"6",1,"f","mass",6.94625,0.0094070499170051,40,40,15,30,"high","high","none","none",40,31,71,277.85,199.5,477.35
"7",2,"d","emer",114.69696969697,1.01411878859589,40,40,15,30,"high","high","none","none",40,33,73,280.6,214.85,495.45
"8",2,"d","grow",0.0901710205534321,0.000850786142926029,40,40,15,30,"high","high","none","none",40,33,73,280.6,214.85,495.45
"9",2,"d","mass",6.51060606060606,0.0115995559433435,40,40,15,30,"high","high","none","none",40,33,73,280.6,214.85,495.45
"10",2,"f","emer",74.65,0.219450800513814,40,40,15,30,"high","high","none","none",40,33,73,280.6,214.85,495.45
"11",2,"f","grow",0.134970218216774,0.000433248350938538,40,40,15,30,"high","high","none","none",40,33,73,280.6,214.85,495.45
"12",2,"f","mass",7.015,0.0106788792267008,40,40,15,30,"high","high","none","none",40,33,73,280.6,214.85,495.45
"13",3,"d","emer",109.416666666667,1.56124547060502,40,40,15,30,"high","high","none","none",40,24,64,280,160.95,440.95
"14",3,"d","grow",0.0989974533032448,0.00153407098614062,40,40,15,30,"high","high","none","none",40,24,64,280,160.95,440.95
"15",3,"d","mass",6.70625,0.0189383903307873,40,40,15,30,"high","high","none","none",40,24,64,280,160.95,440.95
"16",3,"f","emer",73.85,0.204324245834647,40,40,15,30,"high","high","none","none",40,24,64,280,160.95,440.95
"17",3,"f","grow",0.134802650946045,0.000385426699833738,40,40,15,30,"high","high","none","none",40,24,64,280,160.95,440.95
"18",3,"f","mass",7,0.00833493574337282,40,40,15,30,"high","high","none","none",40,24,64,280,160.95,440.95
"19",4,"d","emer",113.0625,0.88807687620748,40,40,15,30,"high","high","none","none",40,32,72,281.2,209.05,490.25
"20",4,"d","grow",0.0900306845479689,0.000909809035970289,40,40,15,30,"high","high","none","none",40,32,72,281.2,209.05,490.25
"21",4,"d","mass",6.5328125,0.0129250403554211,40,40,15,30,"high","high","none","none",40,32,72,281.2,209.05,490.25
"22",4,"f","emer",74.3,0.247953159348231,40,40,15,30,"high","high","none","none",40,32,72,281.2,209.05,490.25
"23",4,"f","grow",0.133667023129452,0.00044813635280795,40,40,15,30,"high","high","none","none",40,32,72,281.2,209.05,490.25
"24",4,"f","mass",7.03,0.0103805785126076,40,40,15,30,"high","high","none","none",40,32,72,281.2,209.05,490.25
"25",5,"d","emer",109.620689655172,0.953408135389256,40,40,15,30,"high","high","none","none",39,29,68,274.05,187.55,461.6
"26",5,"d","grow",0.0918380367260724,0.000942058562236059,40,40,15,30,"high","high","none","none",39,29,68,274.05,187.55,461.6
"27",5,"d","mass",6.46724137931034,0.0150819899952262,40,40,15,30,"high","high","none","none",39,29,68,274.05,187.55,461.6
"28",5,"f","emer",76.7179487179487,0.337149786921217,40,40,15,30,"high","high","none","none",39,29,68,274.05,187.55,461.6
"29",5,"f","grow",0.132337159913196,0.000574417984335582,40,40,15,30,"high","high","none","none",39,29,68,274.05,187.55,461.6
"30",5,"f","mass",7.02692307692308,0.0120405318357033,40,40,15,30,"high","high","none","none",39,29,68,274.05,187.55,461.6
"31",6,"d","emer",109.28125,1.19253586222767,40,40,15,30,"high","high","none","none",40,32,72,274.1,210.15,484.25
"32",6,"d","grow",0.0964417037770841,0.00102110131514443,40,40,15,30,"high","high","none","none",40,32,72,274.1,210.15,484.25
"33",6,"d","mass",6.5671875,0.0115272277972314,40,40,15,30,"high","high","none","none",40,32,72,274.1,210.15,484.25
"34",6,"f","emer",78.325,0.26634922010639,40,40,15,30,"high","high","none","none",40,32,72,274.1,210.15,484.25
"35",6,"f","grow",0.126236157924003,0.000481981625240932,40,40,15,30,"high","high","none","none",40,32,72,274.1,210.15,484.25
"36",6,"f","mass",6.8525,0.00931099949191608,40,40,15,30,"high","high","none","none",40,32,72,274.1,210.15,484.25
"37",7,"d","emer",95.9117647058823,0.772358787227375,40,40,15,30,"high","high","mild","none",37,34,71,244.6,229.3,473.9
"38",7,"d","grow",0.114928341964101,0.000961064576246437,40,40,15,30,"high","high","mild","none",37,34,71,244.6,229.3,473.9
"39",7,"d","mass",6.74411764705882,0.0164706069593506,40,40,15,30,"high","high","mild","none",37,34,71,244.6,229.3,473.9
"40",7,"f","emer",93.5405405405405,0.439672618879837,40,40,15,30,"high","high","mild","none",37,34,71,244.6,229.3,473.9
"41",7,"f","grow",0.094616208619957,0.000437644986720219,40,40,15,30,"high","high","mild","none",37,34,71,244.6,229.3,473.9
"42",7,"f","mass",6.61081081081081,0.00834935843602565,40,40,15,30,"high","high","mild","none",37,34,71,244.6,229.3,473.9
"43",8,"d","emer",98.0882352941177,0.746786048108361,40,40,15,30,"high","high","mild","none",39,34,73,263,225.7,488.7
"44",8,"d","grow",0.112036284174346,0.000927372261002338,40,40,15,30,"high","high","mild","none",39,34,73,263,225.7,488.7
"45",8,"d","mass",6.63823529411765,0.0141056601272777,40,40,15,30,"high","high","mild","none",39,34,73,263,225.7,488.7
"46",8,"f","emer",92.2051282051282,0.371209436572109,40,40,15,30,"high","high","mild","none",39,34,73,263,225.7,488.7
"47",8,"f","grow",0.0979909392257692,0.000454954352163206,40,40,15,30,"high","high","mild","none",39,34,73,263,225.7,488.7
"48",8,"f","mass",6.74358974358974,0.0120560887389943,40,40,15,30,"high","high","mild","none",39,34,73,263,225.7,488.7
"49",9,"d","emer",100.181818181818,0.855539347384316,40,40,15,30,"high","high","mild","none",38,33,71,256.85,222.95,479.8
"50",9,"d","grow",0.111706809048724,0.00109891894772451,40,40,15,30,"high","high","mild","none",38,33,71,256.85,222.95,479.8
"51",9,"d","mass",6.75606060606061,0.014698519793673,40,40,15,30,"high","high","mild","none",38,33,71,256.85,222.95,479.8
