"","run_num","synchrony","asymmetry","var","abs_value","se","baseline_value","se_exp","baseline_adj"
"1",1,"high","none","biom",485.1,NA,441.383333333333,3.7629037251097,0.0990446701657668
"2",1,"high","none","emer",104.4,2.17,101.131666666667,0.504865768739024,0.0323176057614662
"3",1,"high","none","grow",0.12,0,0.135,0.00223606797749979,-0.111111111111111
"4",1,"high","none","mass",6.65,0.04,7.14,0.0154919333848297,-0.0686274509803922
"5",1,"high","none","surv",73,NA,61.8333333333333,0.600925212577332,0.180592991913747
"6",2,"high","none","biom",482.95,NA,441.383333333333,3.7629037251097,0.094173620813352
"7",2,"high","none","emer",104.26,2.1,101.131666666667,0.504865768739024,0.0309332718073799
"8",2,"high","none","grow",0.12,0,0.135,0.00223606797749979,-0.111111111111111
"9",2,"high","none","mass",6.62,0.04,7.14,0.0154919333848297,-0.0728291316526611
"10",2,"high","none","surv",73,NA,61.8333333333333,0.600925212577332,0.180592991913747
"11",3,"high","none","biom",473.8,NA,441.383333333333,3.7629037251097,0.0734433410112148
"12",3,"high","none","emer",104.21,2.41,101.131666666667,0.504865768739024,0.0304388668237776
"13",3,"high","none","grow",0.12,0,0.135,0.00223606797749979,-0.111111111111111
"14",3,"high","none","mass",6.67,0.05,7.14,0.0154919333848297,-0.065826330532213
"15",3,"high","none","surv",71,NA,61.8333333333333,0.600925212577332,0.148247978436658
"16",4,"high","none","biom",484.5,NA,441.383333333333,3.7629037251097,0.0976853075557905
"17",4,"high","none","emer",102.66,2.14,101.131666666667,0.504865768739024,0.0151123123321083
"18",4,"high","none","grow",0.12,0,0.135,0.00223606797749979,-0.111111111111111
"19",4,"high","none","mass",6.64,0.04,7.14,0.0154919333848297,-0.0700280112044819
"20",4,"high","none","surv",73,NA,61.8333333333333,0.600925212577332,0.180592991913747
"21",5,"high","none","biom",485.6,NA,441.383333333333,3.7629037251097,0.100177472340747
"22",5,"high","none","emer",106.41,2.54,101.131666666667,0.504865768739024,0.0521926861022759
"23",5,"high","none","grow",0.12,0,0.135,0.00223606797749979,-0.111111111111111
"24",5,"high","none","mass",6.65,0.05,7.14,0.0154919333848297,-0.0686274509803922
"25",5,"high","none","surv",73,NA,61.8333333333333,0.600925212577332,0.180592991913747
"26",6,"high","none","biom",495.5,NA,441.383333333333,3.7629037251097,0.122606955405354
"27",6,"high","none","emer",104.27,2.3,101.131666666667,0.504865768739024,0.0310321528041003
"28",6,"high","none","grow",0.12,0,0.135,0.00223606797749979,-0.111111111111111
"29",6,"high","none","mass",6.61,0.04,7.14,0.0154919333848297,-0.0742296918767507
"30",6,"high","none","surv",75,NA,61.8333333333333,0.600925212577332,0.212938005390836
"31",7,"high","mild","biom",493.1,NA,441.383333333333,3.7629037251097,0.11716950496545
"32",7,"high","mild","emer",116.16,2.54,101.131666666667,0.504865768739024,0.148601657904712
"33",7,"high","mild","grow",0.1,0,0.135,0.00223606797749979,-0.259259259259259
"34",7,"high","mild","mass",6.66,0.05,7.14,0.0154919333848297,-0.0672268907563026
"35",7,"high","mild","surv",74,NA,61.8333333333333,0.600925212577332,0.196765498652291
"36",8,"high","mild","biom",470.55,NA,441.383333333333,3.7629037251097,0.0660801268738436
"37",8,"high","mild","emer",115.17,2.22,101.131666666667,0.504865768739024,0.138812439229388
"38",8,"high","mild","grow",0.1,0,0.135,0.00223606797749979,-0.259259259259259
"39",8,"high","mild","mass",6.72,0.06,7.14,0.0154919333848297,-0.0588235294117648
"40",8,"high","mild","surv",70,NA,61.8333333333333,0.600925212577332,0.132075471698113
"41",9,"high","mild","biom",474.1,NA,441.383333333333,3.7629037251097,0.0741230223162029
"42",9,"high","mild","emer",115.61,2.26,101.131666666667,0.504865768739024,0.143163203085087
"43",9,"high","mild","grow",0.1,0,0.135,0.00223606797749979,-0.259259259259259
"44",9,"high","mild","mass",6.68,0.05,7.14,0.0154919333848297,-0.0644257703081234
"45",9,"high","mild","surv",71,NA,61.8333333333333,0.600925212577332,0.148247978436658
"46",10,"high","mild","biom",479.1,NA,441.383333333333,3.7629037251097,0.0854510440660047
"47",10,"high","mild","emer",117.08,2.53,101.131666666667,0.504865768739024,0.157698709602993
"48",10,"high","mild","grow",0.1,0,0.135,0.00223606797749979,-0.259259259259259
"49",10,"high","mild","mass",6.65,0.05,7.14,0.0154919333848297,-0.0686274509803922
"50",10,"high","mild","surv",72,NA,61.8333333333333,0.600925212577332,0.164420485175202
"51",11,"high","mild","biom",473.9,NA,441.383333333333,3.7629037251097,0.0736699014462107
"52",11,"high","mild","emer",114.37,2.26,101.131666666667,0.504865768739024,0.130901959491752
"53",11,"high","mild","grow",0.1,0,0.135,0.00223606797749979,-0.259259259259259
"54",11,"high","mild","mass",6.67,0.05,7.14,0.0154919333848297,-0.065826330532213
"55",11,"high","mild","surv",71,NA,61.8333333333333,0.600925212577332,0.148247978436658
"56",12,"high","mild","biom",470.4,NA,441.383333333333,3.7629037251097,0.0657402862213495
"57",12,"high","mild","emer",115.24,2.42,101.131666666667,0.504865768739024,0.139504606206431
"58",12,"high","mild","grow",0.1,0,0.135,0.00223606797749979,-0.259259259259259
"59",12,"high","mild","mass",6.72,0.06,7.14,0.0154919333848297,-0.0588235294117648
"60",12,"high","mild","surv",70,NA,61.8333333333333,0.600925212577332,0.132075471698113
"61",13,"high","strong","biom",463.7,NA,441.383333333333,3.7629037251097,0.0505607370766152
"62",13,"high","strong","emer",139.22,2.61,101.131666666667,0.504865768739024,0.376621236342062
"63",13,"high","strong","grow",0.08,0,0.135,0.00223606797749979,-0.407407407407407
"64",13,"high","strong","mass",6.92,0.08,7.14,0.0154919333848297,-0.0308123249299721
"65",13,"high","strong","surv",67,NA,61.8333333333333,0.600925212577332,0.0835579514824797
"66",14,"high","strong","biom",468.1,NA,441.383333333333,3.7629037251097,0.0605293962164408
"67",14,"high","strong","emer",135.81,2.19,101.131666666667,0.504865768739024,0.34290281646039
"68",14,"high","strong","grow",0.08,0,0.135,0.00223606797749979,-0.407407407407407
"69",14,"high","strong","mass",6.88,0.07,7.14,0.0154919333848297,-0.0364145658263306
"70",14,"high","strong","surv",68,NA,61.8333333333333,0.600925212577332,0.0997304582210242
"71",15,"high","strong","biom",463,NA,441.383333333333,3.7629037251097,0.048974814031643
"72",15,"high","strong","emer",137.29,2.49,101.131666666667,0.504865768739024,0.357537203975016
"73",15,"high","strong","grow",0.08,0,0.135,0.00223606797749979,-0.407407407407407
"74",15,"high","strong","mass",6.81,0.08,7.14,0.0154919333848297,-0.0462184873949581
"75",15,"high","strong","surv",68,NA,61.8333333333333,0.600925212577332,0.0997304582210242
"76",16,"high","strong","biom",456.75,NA,441.383333333333,3.7629037251097,0.0348147868443908
"77",16,"high","strong","emer",136.54,2.38,101.131666666667,0.504865768739024,0.350121129220983
"78",16,"high","strong","grow",0.08,0,0.135,0.00223606797749979,-0.407407407407407
"79",16,"high","strong","mass",6.82,0.08,7.14,0.0154919333848297,-0.0448179271708684
"80",16,"high","strong","surv",67,NA,61.8333333333333,0.600925212577332,0.0835579514824797
"81",17,"high","strong","biom",474.95,NA,441.383333333333,3.7629037251097,0.0760487860136691
"82",17,"high","strong","emer",136.45,2.2,101.131666666667,0.504865768739024,0.349231200250498
"83",17,"high","strong","grow",0.08,0,0.135,0.00223606797749979,-0.407407407407407
"84",17,"high","strong","mass",6.88,0.08,7.14,0.0154919333848297,-0.0364145658263306
"85",17,"high","strong","surv",69,NA,61.8333333333333,0.600925212577332,0.115902964959569
"86",18,"high","strong","biom",461.3,NA,441.383333333333,3.7629037251097,0.0451232866367104
"87",18,"high","strong","emer",138.09,2.6,101.131666666667,0.504865768739024,0.365447683712652
"88",18,"high","strong","grow",0.08,0,0.135,0.00223606797749979,-0.407407407407407
"89",18,"high","strong","mass",6.89,0.07,7.14,0.0154919333848297,-0.035014005602241
"90",18,"high","strong","surv",67,NA,61.8333333333333,0.600925212577332,0.0835579514824797
