"","run_num","sp","var","mean","se","n_fish","n_dfly","mean_fish","mean_dfly","sync_fish","sync_dfly","asym_fish","asym_dfly","surv_tot","biom_tot"
"1",1,"d","biom",49.4,NA,50,50,"early","early","high","high",0.5,0.5,54,363.3
"2",1,"d","emer",134.12,9.24,50,50,"early","early","high","high",0.5,0.5,54,363.3
"3",1,"d","grow",0.07,0.01,50,50,"early","early","high","high",0.5,0.5,54,363.3
"4",1,"d","mass",6.17,0.04,50,50,"early","early","high","high",0.5,0.5,54,363.3
"5",1,"d","surv",8,NA,50,50,"early","early","high","high",0.5,0.5,54,363.3
"6",1,"f","biom",313.9,NA,50,50,"early","early","high","high",0.5,0.5,54,363.3
"7",1,"f","emer",90.48,2.13,50,50,"early","early","high","high",0.5,0.5,54,363.3
"8",1,"f","grow",0.11,0,50,50,"early","early","high","high",0.5,0.5,54,363.3
"9",1,"f","mass",6.82,0.07,50,50,"early","early","high","high",0.5,0.5,54,363.3
"10",1,"f","surv",46,NA,50,50,"early","early","high","high",0.5,0.5,54,363.3
"11",2,"d","biom",25.15,NA,50,50,"early","early","high","high",0.5,0.5,54,363.75
"12",2,"d","emer",133,10.06,50,50,"early","early","high","high",0.5,0.5,54,363.75
"13",2,"d","grow",0.07,0.01,50,50,"early","early","high","high",0.5,0.5,54,363.75
"14",2,"d","mass",6.29,0.07,50,50,"early","early","high","high",0.5,0.5,54,363.75
"15",2,"d","surv",4,NA,50,50,"early","early","high","high",0.5,0.5,54,363.75
"16",2,"f","biom",338.6,NA,50,50,"early","early","high","high",0.5,0.5,54,363.75
"17",2,"f","emer",92.2,1.76,50,50,"early","early","high","high",0.5,0.5,54,363.75
"18",2,"f","grow",0.11,0,50,50,"early","early","high","high",0.5,0.5,54,363.75
"19",2,"f","mass",6.77,0.07,50,50,"early","early","high","high",0.5,0.5,54,363.75
"20",2,"f","surv",50,NA,50,50,"early","early","high","high",0.5,0.5,54,363.75
"21",3,"d","biom",30.85,NA,50,50,"early","early","high","high",0.5,0.5,54,369.2
"22",3,"d","emer",150,10.22,50,50,"early","early","high","high",0.5,0.5,54,369.2
"23",3,"d","grow",0.06,0.01,50,50,"early","early","high","high",0.5,0.5,54,369.2
"24",3,"d","mass",6.17,0.03,50,50,"early","early","high","high",0.5,0.5,54,369.2
"25",3,"d","surv",5,NA,50,50,"early","early","high","high",0.5,0.5,54,369.2
"26",3,"f","biom",338.35,NA,50,50,"early","early","high","high",0.5,0.5,54,369.2
"27",3,"f","emer",90.84,2.03,50,50,"early","early","high","high",0.5,0.5,54,369.2
"28",3,"f","grow",0.11,0,50,50,"early","early","high","high",0.5,0.5,54,369.2
"29",3,"f","mass",6.91,0.07,50,50,"early","early","high","high",0.5,0.5,54,369.2
"30",3,"f","surv",49,NA,50,50,"early","early","high","high",0.5,0.5,54,369.2
"31",4,"d","biom",24.6,NA,50,50,"early","early","high","high",0.5,0.5,51,345.7
"32",4,"d","emer",150.5,11.55,50,50,"early","early","high","high",0.5,0.5,51,345.7
"33",4,"d","grow",0.06,0.01,50,50,"early","early","high","high",0.5,0.5,51,345.7
"34",4,"d","mass",6.15,0.05,50,50,"early","early","high","high",0.5,0.5,51,345.7
"35",4,"d","surv",4,NA,50,50,"early","early","high","high",0.5,0.5,51,345.7
"36",4,"f","biom",321.1,NA,50,50,"early","early","high","high",0.5,0.5,51,345.7
"37",4,"f","emer",91.36,1.93,50,50,"early","early","high","high",0.5,0.5,51,345.7
"38",4,"f","grow",0.11,0,50,50,"early","early","high","high",0.5,0.5,51,345.7
"39",4,"f","mass",6.83,0.08,50,50,"early","early","high","high",0.5,0.5,51,345.7
"40",4,"f","surv",47,NA,50,50,"early","early","high","high",0.5,0.5,51,345.7
"41",5,"d","biom",12.55,NA,50,50,"early","early","high","high",0.5,0.5,51,347.85
"42",5,"d","emer",155,19,50,50,"early","early","high","high",0.5,0.5,51,347.85
"43",5,"d","grow",0.06,0.01,50,50,"early","early","high","high",0.5,0.5,51,347.85
"44",5,"d","mass",6.28,0.02,50,50,"early","early","high","high",0.5,0.5,51,347.85
"45",5,"d","surv",2,NA,50,50,"early","early","high","high",0.5,0.5,51,347.85
"46",5,"f","biom",335.3,NA,50,50,"early","early","high","high",0.5,0.5,51,347.85
"47",5,"f","emer",90.71,2.13,50,50,"early","early","high","high",0.5,0.5,51,347.85
"48",5,"f","grow",0.11,0,50,50,"early","early","high","high",0.5,0.5,51,347.85
"49",5,"f","mass",6.84,0.08,50,50,"early","early","high","high",0.5,0.5,51,347.85
"50",5,"f","surv",49,NA,50,50,"early","early","high","high",0.5,0.5,51,347.85
"51",6,"d","biom",25.3,NA,50,50,"early","early","high","high",0.5,0.5,50,337.35
"52",6,"d","emer",145.5,7.88,50,50,"early","early","high","high",0.5,0.5,50,337.35
