"","sync_fish","sync_dfly","asym_fish","asym_dfly","mean_fish","mean_dfly","n_fish","n_dfly","sp","var","mean","se"
"1","high","high","none","none",15,30,40,40,"d","biom",197.01,8.23
"2","high","high","none","none",15,30,40,40,"d","emer",110.8,1
"3","high","high","none","none",15,30,40,40,"d","grow",0.09,0
"4","high","high","none","none",15,30,40,40,"d","mass",6.54,0.04
"5","high","high","none","none",15,30,40,40,"d","surv",30.17,1.35
"6","high","high","none","none",15,30,40,40,"f","biom",277.97,1.31
"7","high","high","none","none",15,30,40,40,"f","emer",75.83,0.74
"8","high","high","none","none",15,30,40,40,"f","grow",0.13,0
"9","high","high","none","none",15,30,40,40,"f","mass",6.98,0.03
"10","high","high","none","none",15,30,40,40,"f","surv",39.83,0.17
"11","high","high","mild","none",15,30,40,40,"d","biom",226.05,3.72
"12","high","high","mild","none",15,30,40,40,"d","emer",100.31,1.18
"13","high","high","mild","none",15,30,40,40,"d","grow",0.11,0
"14","high","high","mild","none",15,30,40,40,"d","mass",6.71,0.03
"15","high","high","mild","none",15,30,40,40,"d","surv",33.67,0.67
"16","high","high","mild","none",15,30,40,40,"f","biom",256.84,3.9
"17","high","high","mild","none",15,30,40,40,"f","emer",92.06,0.43
"18","high","high","mild","none",15,30,40,40,"f","grow",0.1,0
"19","high","high","mild","none",15,30,40,40,"f","mass",6.73,0.03
"20","high","high","mild","none",15,30,40,40,"f","surv",38.17,0.48
"21","high","high","strong","none",15,30,40,40,"d","biom",296.68,1.4
"22","high","high","strong","none",15,30,40,40,"d","emer",89.02,1.18
"23","high","high","strong","none",15,30,40,40,"d","grow",0.15,0
"24","high","high","strong","none",15,30,40,40,"d","mass",7.42,0.03
"25","high","high","strong","none",15,30,40,40,"d","surv",40,0
"26","high","high","strong","none",15,30,40,40,"f","biom",149.97,7.17
"27","high","high","strong","none",15,30,40,40,"f","emer",145.23,2.48
"28","high","high","strong","none",15,30,40,40,"f","grow",0.06,0
"29","high","high","strong","none",15,30,40,40,"f","mass",6.47,0.03
"30","high","high","strong","none",15,30,40,40,"f","surv",23.17,1.08
