"","sync_fish","sync_dfly","mean_fish","mean_dfly","asym_fish","asym_dfly","n_fish","n_dfly","sp","var","mean","se"
"1","high","high","early","early",0.5,0.5,50,50,"d","biom",27.98,4.94
"2","high","high","early","early",0.5,0.5,50,50,"d","emer",144.69,3.73
"3","high","high","early","early",0.5,0.5,50,50,"d","grow",0.06,0
"4","high","high","early","early",0.5,0.5,50,50,"d","mass",6.23,0.03
"5","high","high","early","early",0.5,0.5,50,50,"d","surv",4.5,0.81
"6","high","high","early","early",0.5,0.5,50,50,"f","biom",326.55,5.04
"7","high","high","early","early",0.5,0.5,50,50,"f","emer",91.4,0.38
"8","high","high","early","early",0.5,0.5,50,50,"f","grow",0.11,0
"9","high","high","early","early",0.5,0.5,50,50,"f","mass",6.83,0.02
"10","high","high","early","early",0.5,0.5,50,50,"f","surv",47.83,0.7
"11","high","high","same","early",0.5,0.5,50,50,"d","biom",127.74,6.27
"12","high","high","same","early",0.5,0.5,50,50,"d","emer",113.29,1.15
"13","high","high","same","early",0.5,0.5,50,50,"d","grow",0.1,0
"14","high","high","same","early",0.5,0.5,50,50,"d","mass",6.44,0.01
"15","high","high","same","early",0.5,0.5,50,50,"d","surv",19.83,0.98
"16","high","high","same","early",0.5,0.5,50,50,"f","biom",151.97,9.95
"17","high","high","same","early",0.5,0.5,50,50,"f","emer",111.47,0.87
"18","high","high","same","early",0.5,0.5,50,50,"f","grow",0.1,0
"19","high","high","same","early",0.5,0.5,50,50,"f","mass",6.46,0.02
"20","high","high","same","early",0.5,0.5,50,50,"f","surv",23.5,1.48
"21","high","high","late","early",0.5,0.5,50,50,"d","biom",326.21,4.48
"22","high","high","late","early",0.5,0.5,50,50,"d","emer",105.92,0.67
"23","high","high","late","early",0.5,0.5,50,50,"d","grow",0.12,0
"24","high","high","late","early",0.5,0.5,50,50,"d","mass",6.96,0.02
"25","high","high","late","early",0.5,0.5,50,50,"d","surv",46.83,0.7
"26","high","high","late","early",0.5,0.5,50,50,"f","biom",26.03,3.73
"27","high","high","late","early",0.5,0.5,50,50,"f","emer",149.83,6.42
"28","high","high","late","early",0.5,0.5,50,50,"f","grow",0.07,0
"29","high","high","late","early",0.5,0.5,50,50,"f","mass",6.26,0.04
"30","high","high","late","early",0.5,0.5,50,50,"f","surv",4.17,0.6
"31","med","high","early","early",0.5,0.5,50,50,"d","biom",28.01,4.42
"32","med","high","early","early",0.5,0.5,50,50,"d","emer",132.56,3.55
"33","med","high","early","early",0.5,0.5,50,50,"d","grow",0.07,0
"34","med","high","early","early",0.5,0.5,50,50,"d","mass",6.23,0.02
"35","med","high","early","early",0.5,0.5,50,50,"d","surv",4.5,0.72
"36","med","high","early","early",0.5,0.5,50,50,"f","biom",274.54,5.06
"37","med","high","early","early",0.5,0.5,50,50,"f","emer",88.97,0.5
"38","med","high","early","early",0.5,0.5,50,50,"f","grow",0.11,0
"39","med","high","early","early",0.5,0.5,50,50,"f","mass",7.13,0.02
"40","med","high","early","early",0.5,0.5,50,50,"f","surv",38.5,0.76
"41","med","high","same","early",0.5,0.5,50,50,"d","biom",139.74,14.87
"42","med","high","same","early",0.5,0.5,50,50,"d","emer",117.63,2.14
"43","med","high","same","early",0.5,0.5,50,50,"d","grow",0.09,0
"44","med","high","same","early",0.5,0.5,50,50,"d","mass",6.43,0.05
"45","med","high","same","early",0.5,0.5,50,50,"d","surv",21.67,2.23
"46","med","high","same","early",0.5,0.5,50,50,"f","biom",178.62,7.08
"47","med","high","same","early",0.5,0.5,50,50,"f","emer",97.75,0.74
"48","med","high","same","early",0.5,0.5,50,50,"f","grow",0.12,0
"49","med","high","same","early",0.5,0.5,50,50,"f","mass",7.08,0.12
"50","med","high","same","early",0.5,0.5,50,50,"f","surv",25.33,1.28
"51","med","high","late","early",0.5,0.5,50,50,"d","biom",305.62,9.4
"52","med","high","late","early",0.5,0.5,50,50,"d","emer",110.41,0.75
"53","med","high","late","early",0.5,0.5,50,50,"d","grow",0.11,0
"54","med","high","late","early",0.5,0.5,50,50,"d","mass",6.81,0.02
